session,bash-count,shell-count,exit-count,help-count,passwd-count,chpass-count,usradd-count,sh-count,bslash-count,fslash-count,perl-count,python-count,chmod-count,sudo-count,rm-count,history-count,cat-count,uname-count,wc-count,crontab-count,w-count,ps-count,free-count,lscpu-count,nproc-count,uptime-count,wget-count,tftp-count,scp-count,ping-count,kill-count,reboot-count,r1-count,r2-count,r3-count,rcd1-size,rcd2_size,mlen-count,url_count,prot,src,ssh_client,duration,rcd_size,continet,cntry,regioin-code,city-name,lat,long,region-code,target
2449,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,31,0,0,2,2.0,1.670945883,6,2,19,62,51,4.663,51.8656,62,2
9707,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,4,31,0,0,0,0.0,1.003670931,9,2,13,7,12,-8.95,51.9,7,0
8566,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,3,10,3,31,0,0,2,2.0,1.856115103,2,2,13,7,12,-8.95,51.9,7,2
1695,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1,0,31,0,0,1,1.0,1.286742926,10,2,21,53,52,30.2642,59.8944,53,1
1611,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,1,31,0,0,0,0.0,1.220422983,0,2,13,7,12,-8.95,51.9,7,0
5517,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,7,0,31,0,0,2,2.0,1.254866838,2,2,13,7,12,-8.95,51.9,7,2
1807,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,1,1,31,0,0,0,0.0,1.076867104,8,2,13,7,12,-8.95,51.9,7,0
493,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,3,0,31,0,0,0,0.0,0.933748007,10,2,21,53,52,30.2642,59.8944,53,0
10233,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,9,2,31,0,0,1,1.0,0.924939156,2,2,21,53,52,30.2642,59.8944,53,1
8037,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,4,31,0,0,1,1.0,0.946938038,4,2,13,7,12,-8.95,51.9,7,1
5459,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,31,0,0,0,0.0,0.902356148,0,2,13,7,12,-8.95,51.9,7,0
4670,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,5,3,5,31,0,0,1,1.0,0.886979818,8,2,21,53,52,30.2642,59.8944,53,1
1887,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,9,3,31,0,0,0,0.0,0.932209969,6,2,21,53,52,30.2642,59.8944,53,0
8704,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1,9,1,31,0,0,2,2.0,0.88995719,9,2,13,7,12,-8.95,51.9,7,2
5518,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,2,10,2,31,0,0,0,0.0,0.894356012,8,2,13,7,12,-8.95,51.9,7,0
140,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,9,3,31,0,0,0,0.0,0.877490997,6,2,13,7,12,-8.95,51.9,7,0
